time_range,day_of_week,month,mode_of_transport,geohash,direction
12-15,FRIDAY,8,TRAIN,u0munch3,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgv3d1,EAST
12-15,FRIDAY,8,TRAIN,u0mu269w,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgsz9h,EAST
12-15,FRIDAY,8,TRAIN,u0mgvdsd,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupypn,EAST
12-15,FRIDAY,8,TRAIN,u0mth8xd,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgsv9k,WEST
12-15,FRIDAY,8,TRAIN,u0mgthg7,NORTH
12-15,FRIDAY,8,TRAIN,u0mgthgr,SOUTH
12-15,FRIDAY,8,TRAIN,u0msmv37,EAST
12-15,FRIDAY,8,TRAIN,u0mgv0vx,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupvfm,EAST
12-15,FRIDAY,8,TRAIN,u0mup40s,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mth8rz,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupkub,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0qh0nx8,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthdu,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mu0xvq,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mun8p5,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthg3,SOUTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgvupx,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0muphrk,EAST
12-15,FRIDAY,8,TRAIN,u0mgsw5f,NORTH_WEST
